menu,food,amount,unit
塩おにぎり,米,3.0,合
鮭おにぎり,米,3.0,合
鮭おにぎり,鮭（大）,2.0,切
たくあんおにぎり,米,3.0,合
たくあんおにぎり,たくあん,26.0,g
たくあんおにぎり,かつおぶし,14.0,g
豚汁,豚肉,175.0,g
豚汁,大根,1.0,本
豚汁,にんじん,1.0,本
豚汁,ごぼう,1.0,本
豚汁,たまねぎ,1.0,個
豚汁,里いも,4.0,個
豚汁,長ネギ,1.0,本
豚汁,油揚げ,3.0,枚
豚汁,こんにゃく,1.0,枚
ほうとう,豚肉,700.0,g
ほうとう,かぼちゃ,1.0,玉
ほうとう,たまねぎ,3.0,個
ほうとう,にんじん,3.0,本
ほうとう,ごぼう,1.0,本
ほうとう,油揚げ,5.0,枚
ほうとう,ほうとう麺,700.0,g
油淋鶏,鶏肉,875.0,g
油淋鶏,レタス,1.0,玉
油淋鶏,長ネギ,2.0,本
油淋鶏,醤油,200.0,ml
油淋鶏,砂糖,46.0,g
油淋鶏,酢,60.0,ml
油淋鶏,酒,31.0,g
フレンチトースト（フランスパン）,フランスパン,3.0,本
フレンチトースト（フランスパン）,卵,8.0,個
フレンチトースト（フランスパン）,牛乳,2.0,本
カレーパン,食パン5枚切り,5.0,枚
カレーパン,カレー,200.0,g
カレーパン,卵,1.0,個
カレーパン,パン粉,40.0,g
コンソメスープ,ベーコン,118.0,g
コンソメスープ,たまねぎ,1.0,個
コンソメスープ,にんじん,1.0,本
コンソメスープ,キャベツ,1.0,個
