menu,food,per_person,unit,category
ホットサンド,食パン8枚切り,1.14,枚,4
ホットサンド,ハム,0.57,枚,2
ホットサンド,とろけるスライスチーズ,0.57,枚,4
ホットドッグ,ロールパン,1.29,個,4
"ホットドッグ,ウィンナー,1.3,本",ウィンナー,1.29,本,2
ホットドッグ,キャベツ,25,g,1
カレーパン,食パン5枚切り,0.71,枚,4
カレーパン,カレー,28.57,g,5
カレーパン,卵,0.14,個,4
カレーパン,パン粉,5.71,g,5
フレンチトースト（フランスパン）,フランスパン,0.29,本,4
フレンチトースト（フランスパン）,卵,1.14,個,4
フレンチトースト（フランスパン）,牛乳,0.15,本,4
フルーツサンド,食パン,1.14,枚,4
フルーツサンド,リンゴ,0.07,個,1
フルーツサンド,生クリーム,35.71,ml,4
ミネストローネ,ベーコン,16.79,g,2
ミネストローネ,たまねぎ,0.14,個,1
ミネストローネ,にんじん,0.14,本,1
ミネストローネ,セロリ,0.14,本,1
ミネストローネ,カットトマト,0.21,箱,5
シーフードチャウダー,ベーコン,8.93,g,2
シーフードチャウダー,シーフードミックス,71.43,g,2
シーフードチャウダー,たまねぎ,0.14,個,1
シーフードチャウダー,にんじん,0.07,本,1
シーフードチャウダー,じゃがいも,0.29,個,1
シーフードチャウダー,牛乳,0.15,本,4
コンソメスープ,ベーコン,16.79,g,2
コンソメスープ,たまねぎ,0.07,個,1
コンソメスープ,にんじん,0.07,本,1
コンソメスープ,キャベツ,0.04,個,1
豚汁,豚肉,25,g,2
豚汁,大根,0.01,本,1
豚汁,にんじん,0.05,本,1
豚汁,ごぼう,0.07,本,1
豚汁,たまねぎ,0.07,個,1
豚汁,里いも,0.57,個,1
豚汁,長ネギ,0.14,本,1
豚汁,油揚げ,0.36,枚,3
豚汁,こんにゃく,0.14,枚,3
カレー,豚肉,71.43,g,2
カレー,たまねぎ,0.43,個,1
カレー,にんじん,0.29,本,1
カレー,じゃがいも,0.29,個,1
カレー,米,0.64,合,4
塩おにぎり,米,0.33,合,4
鮭おにぎり,米,0.33,合,4
鮭おにぎり,鮭（大）,0.21,切,2
たくあんおにぎり,米,0.33,合,4
たくあんおにぎり,たくあん,3.6,g,3
たくあんおにぎり,かつおぶし,2,g,5
ほうとう,豚肉,100,g,2
ほうとう,かぼちゃ,0.05,玉,1
ほうとう,たまねぎ,0.36,個,1
ほうとう,にんじん,0.29,本,1
ほうとう,ごぼう,0.14,本,1
ほうとう,油揚げ,0.71,枚,3
ほうとう,ほうとう麺,100,g,3
ハンバーガー,バンズ,1,個,3
ハンバーガー,牛豚ミンチ,80,g,2
ハンバーガー,たまねぎ,0.14,個,1
ハンバーガー,パン粉,5.71,g,5
ハンバーガー,牛乳,0.03,本,3
ハンバーガー,卵,0.29,個,4
ハンバーガー,レタス,0.04,玉,1
ハンバーガー,トマト,0.14,個,1
ハンバーガー,きゅうり,0.14,本,1
ハンバーガー,スライスチーズ,1,枚,3
油淋鶏,鶏肉,125,g,2
油淋鶏,レタス,0.07,玉,1
油淋鶏,長ネギ,0.25,本,1
油淋鶏,醤油,28.57,ml,5
油淋鶏,砂糖,6.43,g,5
油淋鶏,酢,8.57,ml,5
油淋鶏,酒,4.29,g,5
,,,,
,,,,
,,,,
レタスサラダ,,,,
コールスローサラダ,,,,
アボガドデッィプ,,,,
たこ焼き,,,,
